,comment,goodorbad
0,"Impressive to say the least, I enjoyed this work of art.",1
1,"A powerful, moving, and simple film that plainly shows the effects of an unplanned pregnancy on a young woman living in France before safe and legal abortions were available. Her mood, her schoolwork, her friendships, and her relationships with her family are all strained as she struggles to cope with the situation and seeks out a way to end her pregnancy. The filmmaking is not flashy but it is good.",1
2,it is an easy example of roller coaster destiny of human being.,1
3,"A very hard watch. Slow, slow, slow. Ending saved it, but really I wouldn't recommend. A whole lot of nothing.",0
4,Absolute must-see in this period of time where women's rights are under attack all over the world.,1
5,"An educational film. The camera lens follows every second of the main character, a college student who experiences moments of great tension when she finds out that she is pregnant, which can change her life forever. By not accepting that situation, she follows a route full of risks and sorrows, the dilemma between life and death, between the ethical and the immoral; in a female environment where she feels cornered. Despite her personal stubbornness, it is clear the great responsibility that each woman has to face towards her sexuality and the emotional and social consequences of it. All this boils in the protagonist's mind, and she lets us know in each scene, in each movement of this girl followed by the camera and everyone's eyes.",1
6,"Probably the most ""need to be seen movie"" out there. It shows the ugly truth about where our country is headed if we don't do  something! The desperation and loneliness of the character Anne is visceral and hard to watch, but it must be seen.",1
7,Fantastic movie. Please guys support my new films discussion site. Scenedebate. Your support is highly appreciated. Thank y'all.,1
8,Haha at first I thought of the Mark Wahlberg Happening. Finally a film that recovers this title. Good acting!,1
9,"Poignant, powerful film demonstrating the impossible conflict for girls and women pitted against the oppressive laws written by men in the country women live and have created their lives. Eternally of lowest societal status, the young woman in this film, determined to claim her autonomy, shows us the heart wrenching abandonment and judgment not only of her Sisters, but of those callous and calculating men who have worked diligently to put women back in their place, because it is advantageous to them. Brilliant writing, acting and directing leaves no emotion unexplored, taking the audience prisoner from the beginning.",1
10,"Excelente película, muy actual a pesar de ser de ambientada en los 70s.",1
11,"How can a small sea shell with a glued on eye and plastic shoes captivate and enchant for nearly 90 minutes?    I can't explain...but it does, and was my favorite movie of 2022.    

Not every scene works but when it does, it's so heartwarming that you can forgive its foibles.    Beautiful story and sentiment at a time when we really need an antidote to over-produced, over-blown and disposable content.",1
12,I was quickly charmed by this movie. Appreciate the relationship between Marcel and Dean and definitely enjoyed listening to the little shell’s worldview.,1
13,One of the sweetest movies I've seen in a long time.,1
14,"Funny, sweet, heartwarming. Pretty much the antithesis of your average blockbuster.",1
15,"Fofíssimo, sensível e surpreendente. Sim, é um filme um pouco lento e calminho - vide trilha sonora. Mas isso não é nem de longe um demérito, até porque deve ter sido bem intencional da parte do diretor. Que personagem mais fofo e apaixonante é Marcel (Jenny Slate). O carisma dele já é notado desde os primeiros minutos de cena. Aliás o design dos personagens é criativo e corriqueiro ao mesmo tempo, o que gera uma conexão e empatia quase que automática com eles. Gosto, também, dessa mescla entre a animação e o mundo real. E que ideia ótima apresentar uma história para esses personagens num documentário fictício. Uma das coisas que mais gostei no longa é como ele apresenta os conflitos e problemas dos personagens, principalmente de Marcel e de sua Nanna Connie (Isabella Rossellini): o medo e a sensação de sufoco diante da exposição na mídia, as consequências de um conteúdo viralizado, a perda de privacidade, a morte de entes queridos, o luto, os maus do Alzheimer e doenças correlatas e até a necessidade de Marcel de um momento a sós consigo, fruto dos anos vivendo somente com a avó. Eu amei!",1
16,I watched this movie after being introduced to a24 from Everything Everywhere All at Once and I have to say this is one of my top 3 movies it just feels so real the atmosphere and the characters just create this relationship with the audience through Dean and it just works even though how absurd it is that there is a shell called marcel AND HE HAS SHOES ON it feels like it happened and I love it,1
