,comment,goodorbad
0,"Excelent movie, interesting, moving.  Must see!",1
1,It's a very sweet character study movie. You should watch it when you're not looking for something heavy. All the actors are quite excellent. Someone compared it to The Devil Wears Prada and of course it's a similar situation but this isn't a comedy and doesn't try to be. It's actually more like The Devil Wears Prada - the book. I quite enjoyed it and agree more with the critics than the public in this review. That it got less appreciation by the public is surprising.,1
2,Surprisingly entertaining. A very well told story. I enjoyed it.,1
3,"It's a blank page upon which nothing is written but a lot of name-dropping and insipid moments by some drippy characters that don't mean anything. 

Dismal and unwatchable.",0
4,"Dla spokojnych ludzi, trzymających emocje w sobie, z prostymi marzeniami. Dobrze się ogląda",0
5,"I really appreciated all the insider gossip about the New York City based publishing industry and all the eccentric characters and business practices behind some of my favourite books and authors. The romance and personal development was sadly a bit less interesting, but overall I loved it.",1
6,"Think ""The Devil Wears Prada"" in the book publishing industry, and you've got a pretty good idea what this fact-based personal memoir is all about. When aspiring author Joanna Rakoff takes a job as an administrative assistant at a prestigious, old school New York literary agency, hoping it would help her advance her writing career, she's disillusioned at being relegated to the role of a glorified secretary. But her creative juices are stoked when she's assigned to handle responses to the ample fan mail sent to one of the agency's high-profile clients, the notoriously reclusive J.D. Salinger, with whom she develops a stimulating long-distance creative relationship. The heartfelt story is witty, charming and insightful and will especially appeal to those seeking to launch writing careers of their own. Director Philippe Falardeau's latest tells an engaging tale, even if it tends to be somewhat episodic at times in its attempt at covering an array of story threads. Nevertheless, it all hangs together reasonably well, thanks in large part to the fine performances of Margaret Qualley, Colm Feore and, especially, Sigourney Weaver as the agency's often-prickly boss, as well as several whimsical fantasy sequences that keep the narrative delightfully refreshing. Given the subject matter, ""My Salinger Year"" won't suit everyone, but those with a literary bent will find it an intelligent, uplifting watch that rises far above much of the cinematic trash being released these days.",1
7,"Undoubtedly the greatest success of this film, minor but charming, is its aesthetics, the beautiful composition of the colors and the careful execution of the frames.",1
8,2 out of 5 stars. Boring drama about a young writer joining a literary company where she reads all fans mail towards J. D. Salinger. While questioning about why they dispose of the messages. Boring plot. Dull direction. Tedious performances with lacking chemistry with the characters.,0
9,"It's not surprising JD Salinger never appears in ""My Salinger Year."" Or that JD Salinger is all but tangential to the story. Why? Protagonist Joanna is insufferably self-centered. And self-important. Not as clever or charming [by half] as the author who wrote her supposes she is (it's autobiographical). Joanna admits she never bothered to read Salinger, altho' her narcissism (undoubtedly recognized by everyone but her--including the audience) leads her to spout off on Salinger regularly, at times penning letters to his fans, doling out life advice, presuming to know what Salinger would say.  

Joanna (again: author of the autobiographical ""My Salinger Year"") is one of those tedious people equal parts clueless and bombastic--self-assured and dithering--which she, far more than anyone else, construes to be the makings of an adorable person. The character Joanna, like most people who tend to be that enthusiastically fond of themselves, leaves little room for anyone else to like her very much. Her endless muck-up, gaffes, invented competencies, errors, and bad judgement in her professional life are characterized as endearing, but even the other characters or actors in the film don't seem convinced. Just too tiresome and obnoxious.

Tho I suspect the actress who plays Joanna brought greater likability to the character than the actual person. 

The film additionally has stupidities, for example, Joanna proclaims ""At Berkeley I was the only East Coaster--it seems my brand of New York irony didn't go over well with in Southern California."" But...Berkeley is in Northern California. Joanna makes herself out to be the only sane, smart, savvy, rational person in all of New York--none of the other characters are fully drawn. Her boyfriend is supposedly a Socialist, yet he never talks about Socialism or politics and comes off like Kelso in That '70s Show. His last name is Murphy but he's always using Yiddish words, which--again, I'd imagine this is the fault of the author--somehow isn't meant to be ironic. They're supposed to live in Manhattan but somehow they live in a one-story dump like a trailer?

It gets 2 stars because the portrayal of the publishing world in New York, during that era, while quite shallow, at least isn't glorified or sensationalized, and is portrayed pretty honestly.",0
10,"Excelente filme que nos ensina sobre diversidade. O filme nos deixa a mensagem que nunca foi opção de ninguém ditar o que é certo ou errado sobre os costumes, gostos e orientações de outras pessoas, mas sim, apoiá-las e aceitá-las da forma que elas se sintam mais felizes.",1
11,"This was a wholesome, heartfelt & emotional movie. Not only does it show raising transfluid child but, how someone with a criminal background can change himself and others for the better.",1
